rank,word,H1_bits
823,tayer,5.453055
824,sarpo,5.452823
825,riant,5.452631
826,mesal,5.452620
827,dearn,5.452434
828,stola,5.451591
829,metis,5.451545
830,laron,5.451186
831,cosie,5.450982
832,sonde,5.450759
833,snape,5.450621
834,dorsa,5.450493
835,monas,5.450278
836,lamer,5.450270
837,palet,5.449903
838,piers,5.449764
839,osier,5.449598
840,toads,5.449526
841,loins,5.449105
842,agnes,5.448983
843,taper,5.448659
844,shire,5.448103
845,cared,5.447872
846,torus,5.447760
847,praos,5.447382
848,biles,5.447025
849,baile,5.446926
850,leaks,5.446741
851,seraw,5.446504
852,erato,5.446135
853,sapor,5.446085
854,suant,5.445874
855,detar,5.445666
856,boles,5.445236
857,boars,5.445175
858,adret,5.444971
859,talio,5.444922
860,trone,5.444835
861,wears,5.444615
862,natus,5.444545
863,mensa,5.444492
864,steri,5.443737
865,hames,5.443567
866,gaits,5.443519
867,moats,5.442854
868,haler,5.442177
869,batis,5.441924
870,beisa,5.441845
871,ideas,5.441702
872,clare,5.441549
873,tenso,5.441318
874,manei,5.441309
875,atone,5.440064
876,creat,5.439706
877,tomas,5.439559
878,oriel,5.439506
879,scrat,5.439462
880,hater,5.439093
881,haine,5.438816
882,terma,5.438593
883,liter,5.438552
884,topes,5.438417
885,trina,5.438243
886,tabis,5.438076
887,rakis,5.438076
888,stein,5.437938
889,nides,5.437827
890,malts,5.437522
891,oiler,5.437313
892,fates,5.437194
893,lutea,5.437136
894,besra,5.436953
895,alkes,5.436837
896,sermo,5.436336
897,berat,5.435767
898,warse,5.434790
899,marsi,5.434431
900,lions,5.433884
901,limas,5.433641
902,doser,5.433528
903,loads,5.433421
904,areas,5.433350
905,nodes,5.433314
906,penis,5.433120
907,teary,5.432790
908,shoer,5.432752
909,loran,5.432558
910,tahrs,5.431853
911,orcas,5.431627
912,fears,5.431300
913,react,5.431250
914,astir,5.430840
915,loner,5.430623
916,shean,5.429757
917,sured,5.429434
918,liner,5.429414
919,stero,5.429252
920,linet,5.428842
921,pilea,5.428616
922,sheal,5.428429
923,roist,5.428412
924,diets,5.428015
925,giles,5.427573
926,pinas,5.427168
927,raves,5.426965
928,todea,5.426835
929,lated,5.426411
930,elian,5.426197
931,rotls,5.425623
932,goles,5.425341
933,bones,5.424755
934,herls,5.424746
935,parus,5.424736
936,muras,5.424719
937,cages,5.424527
938,solay,5.423859
939,large,5.423858
940,score,5.423808
941,geisa,5.423534
942,arion,5.423412
943,farse,5.423288
944,slice,5.422151
945,halos,5.421827
946,bines,5.421722
947,rosed,5.421591
948,darin,5.421450
949,heils,5.421392
950,raias,5.421383
951,spret,5.421354
952,stead,5.421306
953,shela,5.421094
954,laney,5.421054
955,sanct,5.420972
956,linos,5.420772
